unit_id,occupation,unit_name,learning_goal_text,reference_label,reference_rationale,llm_label,llm_confidence,model_probability,model_label,error_type
elektroniker_a_11_b,Elektroniker/Elektronikerin,Montieren und Installieren von Netzwerken (§ 4 Absatz 2 Nummer 11),"Standardsoftware und Anwendungssoftware nach Einsatzbereichen auswählen, konfigurieren und anpassen sowie Kompatibilität zu Hardware- und Systemvoraussetzungen beurteilen und installieren",1,"Auswahl, Konfiguration, Anpassung und Installation von Standard- und Anwendungssoftware sind ausdrücklich digitale Handlungen an Software.",1,1,0.6644705858461569,1,True Positive
elektroniker_d_2_f,Elektroniker/Elektronikerin,Sicherheit und Gesundheit bei der Arbeit (§ 4 Absatz 5 Nummer 2),Verhaltensweisen bei Unfällen beschreiben und erste Maßnahmen bei Unfällen einleiten,0,Unfallverhalten und erste Maßnahmen bei Unfällen enthalten keine ausdrücklich digitale Teilkompetenz.,0,1,0.06794880600064952,0,True Negative
fachinformatiker_e_1_c,Fachinformatiker/Fachinformatikerin,Analysieren und Planen von Systemen zur Vernetzung von Prozessen und Produkten (§ 4 Absatz 6 Nummer 1),"bei der Planung Aspekte der IT-Sicherheit und technische Rahmenbedingungen, insbesondere Netzwerkanforderungen, berücksichtigen",1,IT-Sicherheit und Netzwerkanforderungen werden ausdrücklich als technische Planungsbedingungen genannt.,1,1,0.5922481718372979,1,True Positive
fachinformatiker_f_2_a,Fachinformatiker/Fachinformatikerin,Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Absatz 7 Nummer 2),die Rechtsform und den organisatorischen Aufbau des Ausbildungsbetriebes mit seinen Aufgaben und Zuständigkeiten sowie die Zusammenhänge zwischen den Geschäftsprozessen erläutern,0,"Rechtsform, Aufbau, Zuständigkeiten und Geschäftsprozesse beschreiben betriebliche Organisation ohne ausdrücklichen digitalen Bezug.",0,1,0.10898631206367396,0,True Negative
friseur_a_2_4_b,Friseur/Friseurin,Dauerhaft Umformen (§ 4 Abs. 2 Abschnitt A Nr. 2.4),Präparate auswählen und einsetzen,0,Auswahl und Einsatz von Präparaten ist eine stoffbezogene Fachkompetenz ohne digitalen Bezug.,0,1,0.05990603302813027,0,True Negative
friseur_c_4_b,Friseur/Friseurin,Digitalisierte Arbeitswelt (§ 4 Absatz 2 Abschnitt C Nummer 4),Risiken bei der Nutzung von digitalen Medien und informationstechnischen Systemen einschätzen und bei deren Nutzung betriebliche Regelungen einhalten,1,Digitale Medien und informationstechnische Systeme werden ausdrücklich genannt und ihre regelgerechte Nutzung verlangt.,1,1,0.6352460723981661,1,True Positive
bueromanagement_b_7_d,Kaufmann/Kauffrau für Büromanagement,Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),Kommunikationsstörungen vermeiden,0,Kommunikationsstörungen können auch in nichtdigitaler Kommunikation auftreten; ein digitales System wird nicht genannt.,0,1,0.03342932482154333,0,True Negative
bueromanagement_c_4_g,Kaufmann/Kauffrau für Büromanagement,digitalisierte Arbeitswelt (§ 4 Absatz 4 Nummer 4),"Aufgaben zusammen mit Beteiligten, einschließlich der Beteiligten anderer Arbeits- und Geschäftsbereiche, auch unter Nutzung digitaler Medien, planen, bearbeiten und gestalten",1,"Die Nutzung digitaler Medien wird ausdrücklich als Mittel zur gemeinsamen Planung, Bearbeitung und Gestaltung von Aufgaben genannt.",1,1,0.40170058838934514,0,False Negative
mechatroniker_main_15_g,Mechatroniker/Mechatronikerin,Aufbauen und Prüfen von Steuerungen (§ 3 Absatz 2 Nummer 15),"Sensoren, Aktoren und Wandler installieren",1,"Die Berufsbildposition „Aufbauen und Prüfen von Steuerungen“ ordnet Sensoren, Aktoren und Wandler einem mechatronischen Steuerungssystem zu; ihre Installation ist Teil der digitalen Steuerungskompetenz.",0,1,0.12140363198388714,0,False Negative
mechatroniker_main_4_d,Mechatroniker/Mechatronikerin,Umweltschutz (§ 3 Absatz 2 Nummer 4),"Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen, insbesondere Abfälle vermeiden, Stoffe und Materialien einer umweltschonenden Entsorgung zuführen",0,Abfallvermeidung und umweltschonende Entsorgung sind Umweltkompetenzen ohne digitale Handlung.,0,1,0.05192202233237034,0,True Negative
