coder_id,unit_id,occupation,section,track_type,track_name,unit_name,learning_goal_text,student_label,student_confidence,student_rationale
,elektroniker_a_11_b,Elektroniker/Elektronikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Montieren und Installieren von Netzwerken (§ 4 Absatz 2 Nummer 11),"Standardsoftware und Anwendungssoftware nach Einsatzbereichen auswählen, konfigurieren und anpassen sowie Kompatibilität zu Hardware- und Systemvoraussetzungen beurteilen und installieren",,,
,elektroniker_d_2_f,Elektroniker/Elektronikerin,"Abschnitt D: integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Sicherheit und Gesundheit bei der Arbeit (§ 4 Absatz 5 Nummer 2),Verhaltensweisen bei Unfällen beschreiben und erste Maßnahmen bei Unfällen einleiten,,,
,fachinformatiker_e_1_c,Fachinformatiker/Fachinformatikerin,"Abschnitt E: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Digitale Vernetzung",fachrichtung,Digitale Vernetzung,Analysieren und Planen von Systemen zur Vernetzung von Prozessen und Produkten (§ 4 Absatz 6 Nummer 1),"bei der Planung Aspekte der IT-Sicherheit und technische Rahmenbedingungen, insbesondere Netzwerkanforderungen, berücksichtigen",,,
,fachinformatiker_f_2_a,Fachinformatiker/Fachinformatikerin,"Abschnitt F: fachrichtungsübergreifende, integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Absatz 7 Nummer 2),die Rechtsform und den organisatorischen Aufbau des Ausbildungsbetriebes mit seinen Aufgaben und Zuständigkeiten sowie die Zusammenhänge zwischen den Geschäftsprozessen erläutern,,,
,friseur_a_2_4_b,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Dauerhaft Umformen (§ 4 Abs. 2 Abschnitt A Nr. 2.4),Präparate auswählen und einsetzen,,,
,friseur_c_4_b,Friseur/Friseurin,"Abschnitt C: integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Digitalisierte Arbeitswelt (§ 4 Absatz 2 Abschnitt C Nummer 4),Risiken bei der Nutzung von digitalen Medien und informationstechnischen Systemen einschätzen und bei deren Nutzung betriebliche Regelungen einhalten,,,
,bueromanagement_b_7_d,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),Kommunikationsstörungen vermeiden,,,
,bueromanagement_c_4_g,Kaufmann/Kauffrau für Büromanagement,"Abschnitt C: wahlqualifikationsübergreifende integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,digitalisierte Arbeitswelt (§ 4 Absatz 4 Nummer 4),"Aufgaben zusammen mit Beteiligten, einschließlich der Beteiligten anderer Arbeits- und Geschäftsbereiche, auch unter Nutzung digitaler Medien, planen, bearbeiten und gestalten",,,
,mechatroniker_main_15_g,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Aufbauen und Prüfen von Steuerungen (§ 3 Absatz 2 Nummer 15),"Sensoren, Aktoren und Wandler installieren",,,
,mechatroniker_main_4_d,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Umweltschutz (§ 3 Absatz 2 Nummer 4),"Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen, insbesondere Abfälle vermeiden, Stoffe und Materialien einer umweltschonenden Entsorgung zuführen",,,
