feature,coefficient,direction
systemen,0.7253912082995421,spricht eher für digital
fachinformatiker,0.6964203385873725,spricht eher für digital
fachinformatikerin,0.6964203385873725,spricht eher für digital
datenschutz,0.6528014052668837,spricht eher für digital
erstellen,0.6045712878629155,spricht eher für digital
maßnahmen,0.6001280894902953,spricht eher für digital
betriebliche,0.5817405973862061,spricht eher für digital
betreiben,0.5419500941381944,spricht eher für digital
büromanagement,-0.5392837878870502,spricht eher gegen digital
kauffrau,-0.5392837878870502,spricht eher gegen digital
kaufmann,-0.5392837878870502,spricht eher gegen digital
vernetzten,0.5197315570418746,spricht eher für digital
abs,-0.4929712532579929,spricht eher gegen digital
dabei,0.4278325503234108,spricht eher für digital
datensicherheit,0.4278325503234108,spricht eher für digital
planen,-0.40464539976311503,spricht eher gegen digital
ergreifen,0.39692276914924096,spricht eher für digital
abschnitt,-0.3744969117025156,spricht eher gegen digital
friseur,-0.3744969117025156,spricht eher gegen digital
friseurin,-0.3744969117025156,spricht eher gegen digital
kommunikation,0.35818011392967997,spricht eher für digital
technische,0.35818011392967997,spricht eher für digital
systeme,0.3509240675162577,spricht eher für digital
team,-0.3475525226998013,spricht eher gegen digital
kunden,-0.3342379488365564,spricht eher gegen digital
baugruppen,-0.31519756105608315,spricht eher gegen digital
umsetzen,0.3128832351010842,spricht eher für digital
mitwirken,-0.2963242252004902,spricht eher gegen digital
kundinnen,-0.29582785037506787,spricht eher gegen digital
entsprechend,-0.2665645952990604,spricht eher gegen digital
gebäudetechnischen,-0.2665645952990604,spricht eher gegen digital
geltender,-0.2665645952990604,spricht eher gegen digital
normen,-0.2665645952990604,spricht eher gegen digital
wiederholungsprüfungen,-0.2665645952990604,spricht eher gegen digital
zusammenstellen,0.24968003446083495,spricht eher für digital
erläutern,-0.24768708012701532,spricht eher gegen digital
einhaltung,-0.24709358082087568,spricht eher gegen digital
steuern,-0.23490464058069985,spricht eher gegen digital
gestalten,-0.22782963387241012,spricht eher gegen digital
anwenden,-0.21873271255339657,spricht eher gegen digital
dekorative,-0.19983540251304524,spricht eher gegen digital
kosmetik,-0.19983540251304524,spricht eher gegen digital
maniküre,-0.19983540251304524,spricht eher gegen digital
aufgaben,-0.18660787960042588,spricht eher gegen digital
vorbereiten,-0.1853572072007885,spricht eher gegen digital
installieren,0.1847111572512818,spricht eher für digital
arbeiten,-0.18363808366626397,spricht eher gegen digital
verbinden,0.18199340501316483,spricht eher für digital
absatz,0.1803562652158335,spricht eher für digital
nummer,0.1803562652158335,spricht eher für digital
aufbereiten,-0.17501227952644777,spricht eher gegen digital
übernehmen,-0.174871684592426,spricht eher gegen digital
prüfen,0.16955247581182112,spricht eher für digital
beraten,-0.16460299178977214,spricht eher gegen digital
betreuen,-0.16460299178977214,spricht eher gegen digital
überprüfen,-0.16395497649743004,spricht eher gegen digital
aufzeigen,-0.1456194196955721,spricht eher gegen digital
marketing,-0.14525233075852406,spricht eher gegen digital
mitgestalten,-0.14525233075852406,spricht eher gegen digital
vertriebsaktivitäten,-0.14525233075852406,spricht eher gegen digital
bewirtschaften,-0.13278167127268653,spricht eher gegen digital
haushaltsmittel,-0.13278167127268653,spricht eher gegen digital
arbeitswelt,0.12604343970256968,spricht eher für digital
digitalisierte,0.12604343970256968,spricht eher für digital
sicherheit,0.1206129348721822,spricht eher für digital
elektroniker,0.09485008888722515,spricht eher für digital
elektronikerin,0.09485008888722515,spricht eher für digital
beurteilen,0.07104265646170962,spricht eher für digital
mechatroniker,0.05611257519362076,spricht eher für digital
mechatronikerin,0.05611257519362076,spricht eher für digital
instandhalten,0.04878502363136673,spricht eher für digital
berücksichtigen,0.02508162761752663,spricht eher für digital
komponenten,-0.016879545333597316,spricht eher gegen digital
durchführen,0.005956691071705583,spricht eher für digital
arbeit,0.0017222090976541711,spricht eher für digital
