occupation,competency_rows,method,digital_share
Elektroniker/Elektronikerin,207,LLM-Vorkodierung,0.2028985507246377
Elektroniker/Elektronikerin,207,Klassisches ML,0.0966183574879227
Fachinformatiker/Fachinformatikerin,144,LLM-Vorkodierung,0.6527777777777778
Fachinformatiker/Fachinformatikerin,144,Klassisches ML,0.6388888888888888
Friseur/Friseurin,140,LLM-Vorkodierung,0.07142857142857142
Friseur/Friseurin,140,Klassisches ML,0.04285714285714286
Kaufmann/Kauffrau für Büromanagement,239,LLM-Vorkodierung,0.05439330543933055
Kaufmann/Kauffrau für Büromanagement,239,Klassisches ML,0.016736401673640166
Mechatroniker/Mechatronikerin,165,LLM-Vorkodierung,0.1696969696969697
Mechatroniker/Mechatronikerin,165,Klassisches ML,0.11515151515151516
